state,date,dates,confirmed
AN,2020-05-27,"{'delta': {'tested': 51}, 'total': {'confirmed': 33, 'recovered': 33, 'tested': 7499}}",33.0
AN,2020-05-28,"{'delta': {'tested': 20}, 'total': {'confirmed': 33, 'recovered': 33, 'tested': 7519}}",33.0
AN,2020-05-29,"{'delta': {'tested': 48}, 'total': {'confirmed': 33, 'recovered': 33, 'tested': 7567}}",33.0
AN,2020-05-30,"{'total': {'confirmed': 33, 'recovered': 33, 'tested': 7567}}",33.0
AN,2020-05-31,"{'delta': {'tested': 139}, 'total': {'confirmed': 33, 'recovered': 33, 'tested': 7706}}",33.0
AN,2020-06-01,"{'delta': {'tested': 99}, 'total': {'confirmed': 33, 'recovered': 33, 'tested': 7805}}",33.0
AN,2020-06-02,"{'delta': {'tested': 281}, 'total': {'confirmed': 33, 'recovered': 33, 'tested': 8086}}",33.0
AN,2020-06-03,"{'delta': {'tested': 209}, 'total': {'confirmed': 33, 'recovered': 33, 'tested': 8295}}",33.0
AN,2020-06-04,"{'delta': {'tested': 118}, 'total': {'confirmed': 33, 'recovered': 33, 'tested': 8413}}",33.0
AN,2020-06-05,"{'delta': {'tested': 281}, 'total': {'confirmed': 33, 'recovered': 33, 'tested': 8694}}",33.0
AN,2020-06-06,"{'delta': {'tested': 343}, 'total': {'confirmed': 33, 'recovered': 33, 'tested': 9037}}",33.0
AN,2020-06-07,"{'delta': {'tested': 205}, 'total': {'confirmed': 33, 'recovered': 33, 'tested': 9242}}",33.0
AN,2020-06-08,"{'delta': {'tested': 99}, 'total': {'confirmed': 33, 'recovered': 33, 'tested': 9341}}",33.0
AN,2020-06-09,"{'delta': {'confirmed': 1, 'tested': 518}, 'total': {'confirmed': 34, 'recovered': 33, 'tested': 9859}}",34.0
AN,2020-06-10,"{'delta': {'confirmed': 1, 'tested': 151}, 'total': {'confirmed': 35, 'recovered': 33, 'tested': 10010}}",35.0
AN,2020-06-11,"{'delta': {'confirmed': 3, 'tested': 216}, 'total': {'confirmed': 38, 'recovered': 33, 'tested': 10226}}",38.0
AN,2020-06-12,"{'delta': {'tested': 471}, 'total': {'confirmed': 38, 'recovered': 33, 'tested': 10697}}",38.0
AN,2020-06-13,"{'delta': {'tested': 258}, 'total': {'confirmed': 38, 'recovered': 33, 'tested': 10955}}",38.0
AN,2020-06-14,"{'delta': {'confirmed': 2, 'tested': 401}, 'total': {'confirmed': 40, 'recovered': 33, 'tested': 11356}}",40.0
AN,2020-06-15,"{'delta': {'confirmed': 1, 'tested': 162}, 'total': {'confirmed': 41, 'recovered': 33, 'tested': 11518}}",41.0
AN,2020-06-16,"{'delta': {'confirmed': 3, 'tested': 291}, 'total': {'confirmed': 44, 'recovered': 33, 'tested': 11809}}",44.0
AN,2020-06-17,"{'delta': {'tested': 430}, 'total': {'confirmed': 44, 'recovered': 33, 'tested': 12239}}",44.0
AN,2020-06-18,"{'delta': {'confirmed': 1, 'recovered': 2, 'tested': 383}, 'total': {'confirmed': 45, 'recovered': 35, 'tested': 12622}}",45.0
AN,2020-06-19,"{'delta': {'confirmed': 2, 'tested': 308}, 'total': {'confirmed': 47, 'recovered': 35, 'tested': 12930}}",47.0
AN,2020-06-20,"{'delta': {'tested': 390}, 'total': {'confirmed': 47, 'recovered': 35, 'tested': 13320}}",47.0
AN,2020-06-21,"{'delta': {'confirmed': 1, 'recovered': 2, 'tested': 114}, 'total': {'confirmed': 48, 'recovered': 37, 'tested': 13434}}",48.0
AN,2020-06-22,"{'delta': {'tested': 77}, 'total': {'confirmed': 48, 'recovered': 37, 'tested': 13511}}",48.0
AN,2020-06-23,"{'delta': {'confirmed': 2, 'recovered': 3, 'tested': 212}, 'total': {'confirmed': 50, 'recovered': 40, 'tested': 13723}}",50.0
AN,2020-06-24,"{'delta': {'confirmed': 6, 'recovered': 1, 'tested': 271}, 'total': {'confirmed': 56, 'recovered': 41, 'tested': 13994}}",56.0
AN,2020-06-25,"{'delta': {'confirmed': 2, 'tested': 283}, 'total': {'confirmed': 58, 'recovered': 41, 'tested': 14277}}",58.0
AN,2020-06-26,"{'delta': {'confirmed': 14, 'recovered': 2, 'tested': 306}, 'total': {'confirmed': 72, 'recovered': 43, 'tested': 14583}}",72.0
AN,2020-06-27,"{'delta': {'tested': 268}, 'total': {'confirmed': 72, 'recovered': 43, 'tested': 14851}}",72.0
AN,2020-06-28,"{'delta': {'confirmed': 11, 'recovered': 2, 'tested': 243}, 'total': {'confirmed': 83, 'recovered': 45, 'tested': 15094}}",83.0
AN,2020-06-29,"{'delta': {'confirmed': 7, 'tested': 316}, 'total': {'confirmed': 90, 'recovered': 45, 'tested': 15410}}",90.0
AN,2020-06-30,"{'delta': {'confirmed': 7, 'tested': 299}, 'total': {'confirmed': 97, 'recovered': 45, 'tested': 15709}}",97.0
AN,2020-07-01,"{'delta': {'confirmed': 3, 'recovered': 5, 'tested': 273}, 'total': {'confirmed': 100, 'recovered': 50, 'tested': 15982}}",100.0
AN,2020-07-02,"{'delta': {'confirmed': 9, 'recovered': 1, 'tested': 296}, 'total': {'confirmed': 109, 'recovered': 51, 'tested': 16278}}",109.0
AN,2020-07-03,"{'delta': {'confirmed': 7, 'recovered': 3, 'tested': 348}, 'total': {'confirmed': 116, 'recovered': 54, 'tested': 16626}}",116.0
